수집일시,기관코드,기관명,지점코드,지점명,풍향,풍속,기온,습도,기압
64,20210101104000,101,부산청,994401584,부산항신항중앙C호등부표,225,1,1.8,50,1026.6
65,20210101105000,101,부산청,994401584,부산항신항중앙C호등부표,229,0.5,3,49,1026.5
66,20210101110000,101,부산청,994401584,부산항신항중앙C호등부표,240,0.51,3,47,1026.5
67,20210101111000,101,부산청,994401584,부산항신항중앙C호등부표,201,0.98,2.9,47,1026.5
68,20210101112000,101,부산청,994401584,부산항신항중앙C호등부표,219,1.2,2.7,51,1026.3
69,20210101113000,101,부산청,994401584,부산항신항중앙C호등부표,349,0.57,2.8,52,1026
70,20210101114000,101,부산청,994401584,부산항신항중앙C호등부표,87,0.2,3,49,1025.9
71,20210101115000,101,부산청,994401584,부산항신항중앙C호등부표,55,1.5,2.8,52,1025.7
72,20210101120000,101,부산청,994401584,부산항신항중앙C호등부표,130,1.3,2.4,53,1025.4
73,20210101121000,101,부산청,994401584,부산항신항중앙C호등부표,153,0.82,2.5,55,1025.3
74,20210101122000,101,부산청,994401584,부산항신항중앙C호등부표,108,1,3,53,1025.1
75,20210101123000,101,부산청,994401584,부산항신항중앙C호등부표,75,0.77,2.5,48,1024.7
76,20210101124000,101,부산청,994401584,부산항신항중앙C호등부표,77,1.6,3.4,48,1024.6
77,20210101125000,101,부산청,994401584,부산항신항중앙C호등부표,1,0.72,3.5,46,1024.4
78,20210101130000,101,부산청,994401584,부산항신항중앙C호등부표,70,1.1,3.3,46,1024.2
79,20210101131000,101,부산청,994401584,부산항신항중앙C호등부표,,,3.6,45,1024
80,20210101132000,101,부산청,994401584,부산항신항중앙C호등부표,40,1.1,3.9,47,1023.9
81,20210101133000,101,부산청,994401584,부산항신항중앙C호등부표,28,1.3,4,43,1023.8
82,20210101134000,101,부산청,994401584,부산항신항중앙C호등부표,50,1.1,4.5,45,1023.7
83,20210101135000,101,부산청,994401584,부산항신항중앙C호등부표,24,2.6,4.5,50,1023.6
84,20210101140000,101,부산청,994401584,부산항신항중앙C호등부표,25,2.6,4.5,52,1023.6
85,20210101141000,101,부산청,994401584,부산항신항중앙C호등부표,25,2.7,4.6,52,1023.4
86,20210101142000,101,부산청,994401584,부산항신항중앙C호등부표,13,2.8,4.2,49,1023.4
87,20210101143000,101,부산청,994401584,부산항신항중앙C호등부표,37,3,3.6,47,1023.4
88,20210101144000,101,부산청,994401584,부산항신항중앙C호등부표,149,3.1,3.9,51,1023.2
89,20210101145000,101,부산청,994401584,부산항신항중앙C호등부표,143,3.3,4.3,49,1023.3
90,20210101150000,101,부산청,994401584,부산항신항중앙C호등부표,137,3.8,4.1,47,1023.2
91,20210101151000,101,부산청,994401584,부산항신항중앙C호등부표,148,2.7,3.8,49,1023.2
92,20210101152000,101,부산청,994401584,부산항신항중앙C호등부표,158,3,4.5,50,1023.1
93,20210101153000,101,부산청,994401584,부산항신항중앙C호등부표,145,3.6,4.6,55,1023
94,20210101154000,101,부산청,994401584,부산항신항중앙C호등부표,140,4,4,54,1023
